instance_name;sol_found;solveTime
8x8;True;0.028
9x9;True;0.01
10x10;True;0.011
11x11;True;0.014
12x12;True;0.02
13x13;True;0.038
14x14;True;0.04
15x15;True;0.062
16x16;True;0.062
17x17;True;0.112
19x19;True;0.266
20x20;True;0.169
21x21;True;0.253
18x18;True;0.186
22x22;True;0.191
24x24;True;0.339
23x23;True;0.788
25x25;True;0.227
38x38;True;1.199
31x31;True;1.35
30x30;True;1.008
40x40;True;2.072
27x27;True;0.927
28x28;True;3.397
34x34;True;3.337
26x26;True;2.939
35x35;True;2.679
29x29;True;2.417
33x33;True;17.503
36x36;True;3.9
37x37;True;57.249
32x32;True;49.614
39x39;True;86.563
